name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
G. H. King,British,1898 August,Third Class Tidewaiter,1899 March,,,,Canton,,,,,,,,
H. C. Thomas,British,1898 September,Third Class Tidewaiter,1899 March,,,,Canton,,,,,,,,
E. M. Lundberg,Swedish,1898 September,Third Class Tidewaiter,1899 March,,,,Kowloon,,,,,,,,
C. Mattson,Swedish,1898 September,Third Class Tidewaiter,1899 March,,,,Kowloon,,,,,,,,
E. C. Charrington,British,1898 September,Third Class Tidewaiter,1899 March,,,,Canton,,,,,,,,
H. F. Pearson,British,1898 September,Third Class Tidewaiter,1899 March,,,,Canton,,,,,,,,
O. E. N. Samüelsen,Norwegian,1898 September,Third Class Tidewaiter,1899 March,,,,Newchwang,,,,,,,,
H. P. Singer,British,1898 November,Third Class Tidewaiter,1899 March,,,,Hankow,,,,,,,,
W. C. Kailey,American,1898 September,Third Class Tidewaiter,1899 March,,,,Kowloon,,,,,,,,
J. W. Lorentzen,American,1899 March,Third Class Tidewaiter,1899 March,,,,Chinkiang,,,,,,,,
C. H. Hardy,British,1898 September,Third Class Tidewaiter,1899 April,,,,Wuhu,,,,,,,,
G. E. Don,British,1898 November,Third Class Tidewaiter,1899 April,,,,Wuhu,,,,,,,,
H. Taylor,British,1898 August,Third Class Tidewaiter,1899 April,,,,Kiukiang,,,,,,,,
T. Agnew,British,1898 September,Third Class Tidewaiter,1899 April,,,,Canton,,,,,,,,
L. G. Hansford,British,1898 October,Third Class Tidewaiter,1899 April,,,,Kowloon,,,,,,,,
R. H. Witthauer,German,1896 October,Third Class Tidewaiter,1899 April,,,,Kiaochow,,,,,,,,
E. Hoff,Norwegian,1898 July,Third Class Tidewaiter,1899 May,,,,Newchwang,,,,,,,,
W. R. Finlay,British,1898 November,Third Class Tidewaiter,1899 June,,,,Shanghai,,,,,,,,
A. Bouman,Dutch,1898 November,Third Class Tidewaiter,1899 June,,,,Newchwang,,,,,,,,
H. C. A. Hannemann,German,1898 November,Third Class Tidewaiter,1899 June,,,,Tientsin,,,,,,,,
H. S. Robertson,British,1898 December,Third Class Tidewaiter,1899 June,,,,Shanghai,,,,,,,,
W. F. Langford,British,1898 December,Third Class Tidewaiter,1899 June,,,,Canton,,,,,,,,
J. A. Peach,British,1898 December,Third Class Tidewaiter,1899 June,,,,Kowloon,,,,,,,,
A. Martin,British,1898 December,Third Class Tidewaiter,1899 June,,,,Canton,,,,,,,,
J. S. Chubb,British,1898 December,Third Class Tidewaiter,1899 June,,,,Kowloon,,,,,,,,
O. A. Lantz,German,1898 December,Third Class Tidewaiter,1899 June,,,,Kowloon,,,,,,,,
E. O'Hare,British,1897 May,Third Class Tidewaiter,1899 June,,,,Kowloon,,,,,,,,
A. R. Kirk,British,1898 December,Third Class Tidewaiter,1899 June,,,,Kowloon,,,,,,,,
L. Loft,British,1899 July,Third Class Tidewaiter,1899 July,,,,Chefoo,,,,,,,,
W. P. M. Whaite,British,1898 December,Third Class Tidewaiter,1899 July,,,,Kowloon,,,,,,,,
N. A. A. Nielsen,Danish,1898 December,Third Class Tidewaiter,1899 July,,,,Foochow,,,,,,,,
J. Melly,British,1899 January,Third Class Tidewaiter,1899 July,,,,Lappa,,,,,,,,
T. H. Gwynne,British,1899 January,Third Class Tidewaiter,1899 July,,,,Nanking,,,,,,,,
F. Spence,British,1899 January,Third Class Tidewaiter,1899 July,,,,Lappa,,,,,,,,
H. G. Burton,British,1897 December,Third Class Tidewaiter,1899 August,,,Detached for Native Customs,Newchwang,,,,,,,,
T. F. Anderson,British,1899 January,Third Class Tidewaiter,1899 August,,,,Shanghai,,,,,,,,
N. H. Olsen,Norwegian,1894 November,Third Class Tidewaiter,1899 August,,,,Amoy,,,,,,,,
B. Cavanagh,British,1899 February,Third Class Tidewaiter,1899 August,,,,Chefoo,,,,,,,,
L. C. A. von Nauendorff,German,1899 August,Third Class Tidewaiter,1899 August,,,extra-Likin,Ningpo,,,,,,,,
G. J. Colwell,British,1899 March,Third Class Tidewaiter,1899 September,,,Detached for duty in IV.- Postal Department. ,Canton,,,,,,,,
W. Andersen,Danish,1899 March,Third Class Tidewaiter,1899 September,,,,Kowloon,,,,,,,,
